,StockName,StartTime,Period,StockAtStart,StockAtEnd,LableTime,LableValue
1,ATVI,2008-01-01,365 days 00:00:00.000000000,11.7,10.55,2009-03-31,-0.1033707865168538
2,ATVI,2008-12-31,365 days 00:00:00.000000000,7.82,10.02,2010-03-31,0.24663677130044837
3,ATVI,2009-12-31,365 days 00:00:00.000000000,9.13,10.73,2011-03-31,0.16112789526686805
4,ATVI,2010-12-31,365 days 00:00:00.000000000,10.32,11.53,2012-03-30,0.11075514874141867
5,ATVI,2011-12-31,365 days 00:00:00.000000000,11.41,10.79,2013-03-30,-0.055855855855855945
6,ATVI,2012-12-30,365 days 00:00:00.000000000,10.74,16.42,2014-03-30,0.4182621502209132
7,ATVI,2013-12-30,365 days 00:00:00.000000000,16.55,20.85,2015-03-30,0.22994652406417113
8,ATVI,2014-12-30,365 days 00:00:00.000000000,20.13,36.64,2016-03-29,0.5816452351594152
9,ATVI,2015-12-30,365 days 00:00:00.000000000,33.67,35.91,2017-03-29,0.06438631790744452
10,ATVI,2016-12-29,365 days 00:00:00.000000000,39.55,61.59,2018-03-29,0.43583152066442565
11,ADBE,2008-01-01,365 days 00:00:00.000000000,34.67,21.29,2009-03-31,-0.47819871336669056
12,ADBE,2008-12-31,365 days 00:00:00.000000000,19.41,36.78,2010-03-31,0.618259476775227
13,ADBE,2009-12-31,365 days 00:00:00.000000000,32.39,30.78,2011-03-31,-0.05097356340034825
14,ADBE,2010-12-31,365 days 00:00:00.000000000,33.25,28.27,2012-03-30,-0.1618985695708713
15,ADBE,2011-12-31,365 days 00:00:00.000000000,31.2,37.68,2013-03-30,0.18815331010452965
16,ADBE,2012-12-30,365 days 00:00:00.000000000,38.2,59.88,2014-03-30,0.4420880913539967
17,ADBE,2013-12-30,365 days 00:00:00.000000000,59.08,72.7,2015-03-30,0.20670814994688122
18,ADBE,2014-12-30,365 days 00:00:00.000000000,70.44,93.94,2016-03-29,0.2859228616620027
19,ADBE,2015-12-30,365 days 00:00:00.000000000,88.16,102.95,2017-03-29,0.1547799696509864
20,ADBE,2016-12-29,365 days 00:00:00.000000000,113.31,175.24,2018-03-29,0.4292496967596604
21,AMD,2008-01-01,365 days 00:00:00.000000000,7.78,2.16,2009-03-31,-1.1307847082494968
22,AMD,2008-12-31,365 days 00:00:00.000000000,2.15,9.68,2010-03-31,1.2730346576500422
23,AMD,2009-12-31,365 days 00:00:00.000000000,7.61,8.18,2011-03-31,0.07219759341355281
24,AMD,2010-12-31,365 days 00:00:00.000000000,8.1,5.4,2012-03-30,-0.3999999999999999
25,AMD,2011-12-31,365 days 00:00:00.000000000,6.83,2.4,2013-03-30,-0.9599133261105091
26,AMD,2012-12-30,365 days 00:00:00.000000000,2.63,3.87,2014-03-30,0.3815384615384616
27,AMD,2013-12-30,365 days 00:00:00.000000000,3.43,2.67,2015-03-30,-0.24918032786885255
28,AMD,2014-12-30,365 days 00:00:00.000000000,2.69,2.87,2016-03-29,0.06474820143884898
29,AMD,2015-12-30,365 days 00:00:00.000000000,2.17,11.34,2017-03-29,1.3575129533678756
30,AMD,2016-12-29,365 days 00:00:00.000000000,10.9,10.28,2018-03-29,-0.05854579792256855
31,ALXN,2008-01-01,365 days 00:00:00.000000000,16.39,16.83,2009-03-31,0.026490066225165428
32,ALXN,2008-12-31,365 days 00:00:00.000000000,18.24,24.41,2010-03-31,0.28933177022274337
33,ALXN,2009-12-31,365 days 00:00:00.000000000,23.15,40.28,2011-03-31,0.5401229702033739
34,ALXN,2010-12-31,365 days 00:00:00.000000000,42.18,68.66,2012-03-30,0.47780584626488626
35,ALXN,2011-12-31,365 days 00:00:00.000000000,76.95,93.74,2013-03-30,0.19673091569511972
36,ALXN,2012-12-30,365 days 00:00:00.000000000,94.75,132.88,2014-03-30,0.3350173527215217
37,ALXN,2013-12-30,365 days 00:00:00.000000000,158.39,185.03,2015-03-30,0.15514530312736602
38,ALXN,2014-12-30,365 days 00:00:00.000000000,184.01,190.75,2016-03-29,0.03596968726651729
39,ALXN,2015-12-30,365 days 00:00:00.000000000,144.18,122.35,2017-03-29,-0.1638089520879452
40,ALXN,2016-12-29,365 days 00:00:00.000000000,128.5,119.59,2018-03-29,-0.0718287718166794
41,ALGN,2008-01-01,365 days 00:00:00.000000000,11.59,8.75,2009-03-31,-0.27925270403146507
42,ALGN,2008-12-31,365 days 00:00:00.000000000,7.71,17.82,2010-03-31,0.7920094007050528
43,ALGN,2009-12-31,365 days 00:00:00.000000000,18.73,19.54,2011-03-31,0.0423308074209563
44,ALGN,2010-12-31,365 days 00:00:00.000000000,20.51,23.73,2012-03-30,0.1455696202531645
45,ALGN,2011-12-31,365 days 00:00:00.000000000,23.58,27.75,2013-03-30,0.16247808299240218
46,ALGN,2012-12-30,365 days 00:00:00.000000000,31.44,57.14,2014-03-30,0.5802664258297584
47,ALGN,2013-12-30,365 days 00:00:00.000000000,59.08,55.91,2015-03-30,-0.05513522915036093
48,ALGN,2014-12-30,365 days 00:00:00.000000000,53.0,65.85,2016-03-29,0.21623895666806892
49,ALGN,2015-12-30,365 days 00:00:00.000000000,66.11,96.13,2017-03-29,0.3700690335305719
50,ALGN,2016-12-29,365 days 00:00:00.000000000,97.0,222.19,2018-03-29,0.7844230708982111
51,GOOGL,2008-01-01,365 days 00:00:00.000000000,264.6,153.98,2009-03-31,-0.5285489034354246
52,GOOGL,2008-12-31,365 days 00:00:00.000000000,167.31,310.3,2010-03-31,0.5987730575155462
53,GOOGL,2009-12-31,365 days 00:00:00.000000000,267.57,297.28,2011-03-31,0.10519606975303172
54,GOOGL,2010-12-31,365 days 00:00:00.000000000,302.55,323.27,2012-03-30,0.06621712313444751
55,GOOGL,2011-12-31,365 days 00:00:00.000000000,292.76,354.04,2013-03-30,0.18948670377241816
56,GOOGL,2012-12-30,365 days 00:00:00.000000000,379.48,560.92,2014-03-30,0.3858783496384516
57,GOOGL,2013-12-30,365 days 00:00:00.000000000,590.19,549.08,2015-03-30,-0.07216902051313563
58,GOOGL,2014-12-30,365 days 00:00:00.000000000,534.32,778.01,2016-03-29,0.3713852460890172
59,GOOGL,2015-12-30,365 days 00:00:00.000000000,771.26,809.45,2017-03-29,0.04832005870779593
60,GOOGL,2016-12-29,365 days 00:00:00.000000000,824.0,1053.4,2018-03-29,0.24438052625972098
61,GOOG,2008-01-01,365 days 00:00:00.000000000,263.35,153.25,2009-03-31,-0.528564570331253
62,GOOG,2008-12-31,365 days 00:00:00.000000000,166.52,308.83,2010-03-31,0.5987588092984115
63,GOOG,2009-12-31,365 days 00:00:00.000000000,266.3,295.88,2011-03-31,0.105233199331175
64,GOOG,2010-12-31,365 days 00:00:00.000000000,301.12,321.74,2012-03-30,0.06621070545547958
65,GOOG,2011-12-31,365 days 00:00:00.000000000,291.38,352.37,2013-03-30,0.1894834951456311
66,GOOG,2012-12-30,365 days 00:00:00.000000000,377.68,558.26,2014-03-30,0.38587943671602876
67,GOOG,2013-12-30,365 days 00:00:00.000000000,587.4,540.35,2015-03-30,-0.08344047882952774
68,GOOG,2014-12-30,365 days 00:00:00.000000000,530.27,742.6,2016-03-29,0.3336240150211727
69,GOOG,2015-12-30,365 days 00:00:00.000000000,750.46,771.82,2017-03-29,0.02806316840528682
70,GOOG,2016-12-29,365 days 00:00:00.000000000,799.68,1046.4,2018-03-29,0.2672906916276653
71,AMZN,2008-01-01,365 days 00:00:00.000000000,79.02,51.28,2009-03-31,-0.4257866462010743
72,AMZN,2008-12-31,365 days 00:00:00.000000000,58.57,134.52,2010-03-31,0.7866797866279974
73,AMZN,2009-12-31,365 days 00:00:00.000000000,123.18,180.0,2011-03-31,0.3748268355432416
74,AMZN,2010-12-31,365 days 00:00:00.000000000,170.52,173.1,2012-03-30,0.015016588091496327
75,AMZN,2011-12-31,365 days 00:00:00.000000000,173.81,250.87,2013-03-30,0.3629085429028916
76,AMZN,2012-12-30,365 days 00:00:00.000000000,268.93,398.79,2014-03-30,0.388965434613311
77,AMZN,2013-12-30,365 days 00:00:00.000000000,358.98,310.35,2015-03-30,-0.14530948859307066
78,AMZN,2014-12-30,365 days 00:00:00.000000000,350.05,675.89,2016-03-29,0.6352028383726143
79,AMZN,2015-12-30,365 days 00:00:00.000000000,578.15,768.66,2017-03-29,0.28290553233195476
80,AMZN,2016-12-29,365 days 00:00:00.000000000,829.21,1169.47,2018-03-29,0.34048471991514395
81,AAL,2008-01-01,365 days 00:00:00.000000000,13.18,7.29,2009-03-31,-0.575476306790425
82,AAL,2008-12-31,365 days 00:00:00.000000000,5.3,4.56,2010-03-31,-0.1501014198782962
83,AAL,2009-12-31,365 days 00:00:00.000000000,5.12,9.44,2011-03-31,0.5934065934065934
84,AAL,2010-12-31,365 days 00:00:00.000000000,9.4,4.78,2012-03-30,-0.6516220028208745
85,AAL,2011-12-31,365 days 00:00:00.000000000,7.99,12.73,2013-03-30,0.45752895752895756
86,AAL,2012-12-30,365 days 00:00:00.000000000,13.6,23.8,2014-03-30,0.5454545454545455
87,AAL,2013-12-30,365 days 00:00:00.000000000,32.01,,2015-03-30,
88,AAL,2014-12-30,365 days 00:00:00.000000000,46.03,37.03,2016-03-29,-0.21671081146159402
89,AAL,2015-12-30,365 days 00:00:00.000000000,37.27,35.29,2017-03-29,-0.054575523704520505
90,AAL,2016-12-29,365 days 00:00:00.000000000,43.24,46.19,2018-03-29,0.06597338700659724
91,AMGN,2008-01-01,365 days 00:00:00.000000000,37.67,46.98,2009-03-31,0.21996455995274647
92,AMGN,2008-12-31,365 days 00:00:00.000000000,44.28,46.02,2010-03-31,0.038538205980066485
93,AMGN,2009-12-31,365 days 00:00:00.000000000,47.6,44.66,2011-03-31,-0.06373292867981802
